# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionTimeUs,1727728074123000000,1727728134923000000,56484
FlushQueue.queueSizeAvg,1727728074123000000,1727728134923000000,0.0
FlushQueue.waitingTime90PNs,1727728074123000000,1727728134923000000,0
FlushQueue.tasksExecuted,1727728074123000000,1727728134923000000,0
ReadAction.executionsCount,1727728074123000000,1727728134923000000,32307
FlushQueue.executionTimeMaxNs,1727728074123000000,1727728134923000000,0
FlushQueue.executionTimeAvgNs,1727728074123000000,1727728134923000000,0.0
Indexes.entries.lookups,1727728074123000000,1727728134923000000,1
Indexes.allKeys.lookupDuration90PMs,1727728074123000000,1727728134923000000,0.0
Indexes.stubs.lookupDurationMaxMs,1727728074123000000,1727728134923000000,0.0
Indexes.entries.lookupDurationAvgMs,1727728074123000000,1727728134923000000,0.0
Indexes.entries.lookupDuration90PMs,1727728074123000000,1727728134923000000,0.0
Indexes.allKeys.lookups,1727728074123000000,1727728134923000000,0
IndexesFlusher.totalFlushesRetried,1727728074123000000,1727728134923000000,3
Indexes.stubs.lookups,1727728074123000000,1727728134923000000,0
Indexes.allKeys.lookupDurationMaxMs,1727728074123000000,1727728134923000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1727728074123000000,1727728134923000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1727728074123000000,1727728134923000000,113
IndexesFlusher.totalFlushes,1727728074123000000,1727728134923000000,140
Indexes.stubs.lookupDurationAvgMs,1727728074123000000,1727728134923000000,0.0
Indexes.entries.lookupDurationMaxMs,1727728074123000000,1727728134923000000,0.0
Indexes.stubs.lookupDuration90PMs,1727728074123000000,1727728134923000000,0.0
IndexesFlusher.totalFlushingTimeUs,1727728074123000000,1727728134923000000,983165
workspaceModel.workspaceFileIndexData.markDirty.ms,1727728074123000000,1727728134923000000,0
workspaceModel.initializing.ms,1727728074123000000,1727728134923000000,32
workspaceModel.full.replace.project.model.ms,1727728074123000000,1727728134923000000,5
workspaceModel.update.unloaded.entities.ms,1727728074123000000,1727728134923000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1727728074123000000,1727728134923000000,0
workspaceModel.to.snapshot.ms,1727728074123000000,1727728134923000000,1
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1727728074123000000,1727728134923000000,0
workspaceModel.updates.ms,1727728074123000000,1727728134923000000,351
workspaceModel.pre.handlers.ms,1727728074123000000,1727728134923000000,1
workspaceModel.on.before.changed.ms,1727728074123000000,1727728134923000000,87
workspaceModel.workspaceFileIndexData.getPackageName.ms,1727728074123000000,1727728134923000000,0
workspaceModel.collect.changes.ms,1727728074123000000,1727728134923000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1727728074123000000,1727728134923000000,2
workspaceModel.updates.count,1727728074123000000,1727728134923000000,4
workspaceModel.workspaceFileIndexData.processFileSets.ms,1727728074123000000,1727728134923000000,0
workspaceModel.cachedValue.total.get.count,1727728074123000000,1727728134923000000,69
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1727728074123000000,1727728134923000000,0
workspaceModel.workspaceFileIndexData.instances.count,1727728074123000000,1727728134923000000,1
workspaceModel.loading.from.cache.ms,1727728074123000000,1727728134923000000,58
workspaceModel.on.changed.ms,1727728074123000000,1727728134923000000,212
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1727728074123000000,1727728134923000000,106
workspaceModel.cachedValueWithParameters.clear.count,1727728074123000000,1727728134923000000,0
workspaceModel.check.recursive.update.ms,1727728074123000000,1727728134923000000,1
workspaceModel.updates.precise.ms,1727728074123000000,1727728134923000000,9
workspaceModel.loading.total.ms,1727728074123000000,1727728134923000000,73
workspaceModel.cachedValue.clear.count,1727728074123000000,1727728134923000000,3
workspaceModel.entityStorageSnapshotImpl.instances.count,1727728074123000000,1727728134923000000,23
